time,dataset_name,model_name,f1,precision,recall,TP,TN,FP,FN,threshold,test,retrain,batch_size,epoch_num,init_lr,freeze_patience,freeze_delta,stop_patience,stop_delta,slide_win,small_win,embed_time,level,q
2023_12_03_03_50_38,SyntheticMiddle,AERO,0.9517,0.9079,1.0000,345,90820,35,0,0.0239,False,True,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99
2023_12_03_09_46_18,SyntheticHigh,AERO,0.9511,0.9067,1.0000,690,90439,71,0,0.0323,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2023_12_03_09_49_48,SyntheticLow,AERO,0.9620,0.9268,1.0000,405,90763,32,0,0.0255,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.0012023_12_03_20_32_46,AstrosetMiddle,AERO,0.8933,0.8072,1.0000,900,278983,215,0,0.0654,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2023_12_03_20_40_24,AstrosetHigh,AERO,0.8595,0.7536,1.0000,630,211964,206,0,0.1033,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2023_12_03_20_49_00,AstrosetMiddle,AERO,0.8933,0.8072,1.0000,900,278983,215,0,0.0654,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2023_12_03_21_13_13,AstrosetLow,AERO,0.9031,0.8900,0.9167,550,109332,68,50,0.2178,False,True,128,100,0.001,5,0.005,5,0.001,200,60,8,0.99,0.001
2024_11_07_17_15_11,SyntheticMiddle,AERO,0.9517,0.9079,1.0000,345,90820,35,0,0.0239,False,False,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001
2024_11_09_20_55_40,SyntheticMiddle,AERO,0.9557,0.9151,1.0000,345,90823,32,0,0.0444,False,True,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001
2024_11_09_22_42_38,SyntheticHigh,AERO,0.9711,0.9439,1.0000,690,90469,41,0,0.0423,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_10_16_25_50,AstrosetMiddle,AERO,0.2994,0.4587,0.2222,200,278962,236,700,0.0537,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_10_16_34_15,AstrosetMiddle,AERO,0.2994,0.4587,0.2222,200,278962,236,700,0.0537,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_11_17_19_25,SyntheticLow,AERO,0.0000,0.0000,0.0000,0,90707,88,405,0.0000,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_11_18_23_30,SyntheticLow,AERO,0.0226,0.0114,1.0000,405,55753,35042,0,1.0000,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_11_22_43_24,SyntheticLow,AERO,0.0000,0.0000,0.0000,0,90705,90,405,1.1235,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_11_23_02_21,AstrosetLow,AERO,0.0250,0.0127,1.0000,600,62627,46773,0,1.0000,False,True,128,100,0.001,5,0.005,5,0.001,200,60,8,0.99,0.001
2024_11_12_00_04_38,AstrosetMiddle,AERO,0.0157,0.0079,1.0000,900,166245,112953,0,1.0000,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_18_16_11_19,SyntheticMiddle,AERO,0.0000,0.0000,0.0000,0,90834,21,345,1.9869,False,True,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001
