time,dataset_name,model_name,f1,precision,recall,TP,TN,FP,FN,threshold,test,retrain,batch_size,epoch_num,init_lr,freeze_patience,freeze_delta,stop_patience,stop_delta,slide_win,small_win,embed_time,level,q,,,,,,,,,,,,,,,,,,,,,,,,
2023_12_03_03_50_38,SyntheticMiddle,AERO,0.9517,0.9079,1,345,90820,35,0,0.0239,FALSE,TRUE,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,,,,,,,,,,,,,,,,,,,,,,,,,
2023_12_03_09_46_18,SyntheticHigh,AERO,0.9511,0.9067,1,690,90439,71,0,0.0323,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2023_12_03_09_49_48,SyntheticLow,AERO,0.962,0.9268,1,405,90763,32,0,0.0255,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.0012023_12_03_20_32_46,AstrosetMiddle,AERO,0.8933,0.8072,1,900,278983,215,0,0.0654,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2023_12_03_20_40_24,AstrosetHigh,AERO,0.8595,0.7536,1,630,211964,206,0,0.1033,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2023_12_03_20_49_00,AstrosetMiddle,AERO,0.8933,0.8072,1,900,278983,215,0,0.0654,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2023_12_03_21_13_13,AstrosetLow,AERO,0.9031,0.89,0.9167,550,109332,68,50,0.2178,FALSE,TRUE,128,100,0.001,5,0.005,5,0.001,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2024_11_12_17_50_10,SyntheticMiddle,AERO,0.9557,0.9151,1,345,90823,32,0,0.0444,FALSE,TRUE,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2024_11_12_18_35_27,SyntheticMiddle,AERO,0.9557,0.9151,1,345,90823,32,0,0.0444,FALSE,TRUE,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2024_11_12_21_50_17,SyntheticLow,AERO,0.9485,0.902,1,405,90751,44,0,0.0814,FALSE,TRUE,128,100,0.001,5,0.01,5,0,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2024_11_13_01_02_42,AstrosetMiddle,AERO,0,0,0,0,278912,286,900,0.0455,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2024_11_13_07_34_37,AstrosetLow,AERO,0.7647,0.7799,0.75,450,109273,127,150,1.0022,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2024_11_14_01_35_45,AstrosetHigh,AERO,0.5833,0.614,0.5556,350,211950,220,280,0.1201,FALSE,TRUE,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2024_11_14_20_11_58,AstrosetMiddle,AERO,0.0000,0.0000,0.0000,0,278912,286,900,0.0455,False,True,128,100,0.001,5,0.01,5,0.005,200,60,8,0.99,0.001
2024_11_18_18_39_00,SyntheticMiddle,AERO,0.7469,0.7878,0.7101,245,90789,66,100,0.1292,False,True,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001
2024_11_19_05_53_50,AstrosetHigh,AERO,0.8560,0.7482,1.0000,630,211958,212,0,0.5047,False,True,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001
2024_11_19_14_16_42,SyntheticMiddle,AERO,0.5892,0.7028,0.5072,175,90781,74,170,0.1546,False,True,128,100,0.001,6,0.01,6,0.01,200,60,8,0.99,0.001
2024_11_19_20_09_59,AstrosetHigh,AERO,0.5877,0.6239,0.5556,350,211959,211,280,0.3218,False,True,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001
2024_11_20_04_39_58,AstrosetHigh,AERO,0.5776,0.6014,0.5556,350,211938,232,280,0.4400,False,True,128,100,0.001,5,0.01,5,0.01,200,60,8,0.99,0.001
